sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
59	qrkWBAAAQBAJ	698195701	9780698195707	Brown Girl Dreaming	9780698195707	Brown Girl Dreaming (Newbery Honor Book)	http://www.amazon.com/Brown-Girl-Dreaming-Newbery-Honor-ebook/dp/B00M3Q6ONG	4.8	333	YES
60	Fq4lAgAAQBAJ	316250821	9780316250825	"California, A Novel"	9780316250825	California: A Novel	http://www.amazon.com/California-Novel-Edan-Lepucki-ebook/dp/B00GG0GJ2Q	3	418	NO
61	O0eNBwAAQBAJ	146685054X	9781466850545	Carry On	9781466850545	Carry On	http://www.amazon.com/Carry-Rainbow-Rowell-ebook/dp/B00V35U13W	4.4	310	YES
62	XqAVBQAAQBAJ	465064965	9780465064960	"Cat Sense, How The New Feline Science Can Make You A Better Friend To Your Pet"	9780465064960	Cat Sense: How the New Feline Science Can Make You a Better Friend to Your Pet	http://www.amazon.com/Cat-Sense-Feline-Science-Better/dp/0465064965	4	312	YES
63	QuOBbFeg0JIC	030749442X	9780307494429	"Check The Technique, Liner Notes For Hip-Hop Junkies"	9780307494429	Check the Technique: Liner Notes for Hip-Hop Junkies	http://www.amazon.com/Check-Technique-Liner-Hip-Hop-Junkies-ebook/dp/B001V7U6W8	4.5	24	YES
64	dxctmhhwkiIC	374123667	9780374123666	"Cinnamon And Gunpowder, A Novel"	9780374123666	Cinnamon and Gunpowder: A Novel	http://www.amazon.com/Cinnamon-Gunpowder-Novel-Eli-Brown-ebook/dp/B00ANI9EYW	4.3	121	YES
65	UmrWBQAAQBAJ	345534190	9780345534194	"Circling The Sun, A Novel"	9780345534194	Circling the Sun: A Novel	http://www.amazon.com/Circling-Sun-Novel-Paula-McLain-ebook/dp/B00R04GCMY	4.4	0	NA
66	cWjWBQAAQBAJ	385353782	9780385353786	"City On Fire, A Novel"	9780385353786	City on Fire: A novel	http://www.amazon.com/City-Fire-Garth-Risk-Hallberg-ebook/dp/B00R04GCTC	3.1	332	NO
67	H0yLAgAAQBAJ	547840640	9780547840642	Claire Dewitt And The Bohemian Highway	9780547840642	Claire DeWitt and the Bohemian Highway	http://www.amazon.com/Claire-DeWitt-Bohemian-Highway-Sara-ebook/dp/B008LQ223S	3.5	93	YES
68	qh7NP93l9yEC	385349688	9780385349680	Claire Of The Sea Light	9780385349680	Claire of the Sea Light (Vintage Contemporaries)	http://www.amazon.com/Claire-Sea-Light-Vintage-Contemporaries-ebook/dp/B00BO4GR4Y	3.9	230	YES
69	Q5NOUhEfi2EC	62123181	9780062123183	"Cloudsplitter, A Novel"	9780062123183	Cloudsplitter: A Novel	http://www.amazon.com/Cloudsplitter-Novel-Russell-Banks-ebook/dp/B005O079IM	4.1	140	YES
70	5ROKAwAAQBAJ	1118846796	9781118846797	"Common Core Curriculum: English, Grades 6-8"	9781118846797	"Common Core Curriculum: English, Grades 6-8 (Common Core English: The Wheatley Portfolio)"	http://www.amazon.com/Common-Core-Curriculum-Wheatley-Portfolio-ebook/dp/B00JZOZDTK	4.2	5	NA
72	hzEA_dkMPOQC	62123165	9780062123169	Continental Drift	9780062123169	Continental Drift (Harper Perennial Modern Classics)	http://www.amazon.com/Continental-Harper-Perennial-Modern-Classics-ebook/dp/B005O08FOO	3.9	74	YES
73	JIB0e5qD5LAC	878054901	9780878054909	Conversations With Bernard Malamud	9780878054909	Conversations with Bernard Malamud (Literary Conversations)	http://www.amazon.com/Conversations-Bernard-Malamud-Literary/dp/0878054901	1	1	NA
74	gydWiIO-DCUC	157806144X	9781578061440	Conversations With E.L. Doctorow	9781578061440	Conversations with E. L. Doctorow (Literary Conversations)	http://www.amazon.com/Conversations-E-L-Doctorow-Literary/dp/157806144X	5	1	NA
75	wpO30C3f9cUC	087805412X	9780878054121	Conversations With Joyce Carol Oates	9780878054121	Conversations with Joyce Carol Oates (Literary Conversations)	http://www.amazon.com/Conversations-Joyce-Carol-Oates-Literary/dp/087805412X	4.5	2	NA
76	f1SzvaRJktcC	1594746273	9781594746277	"Countdown City, The Last Policeman"	9781594746277	Countdown City: The Last Policeman Book II (Last Policeman Trilogy 2)	http://www.amazon.com/Countdown-City-Last-Policeman-Trilogy-ebook/dp/B00B6OV90E	4.2	303	YES
